matches	category	city	state	title	url
0	Industry	Limours	Essonne	Ingénieur des procédés technologiques de fabrication câblage baies (F/H)	https://careers.thalesgroup.com/global/en/job/R0323723/Ingénieur-des-procédés-technologiques-de-fabrication-câblage-baies-F-H
0	Software	Vélizy-Villacoublay	Yvelines	Ingénieur développement C++/QT H/F	https://careers.thalesgroup.com/global/en/job/R0256586/Ingénieur-développement-C-QT-H-F
0	Industry	Limours	Essonne	Monteur cableur F/H	https://careers.thalesgroup.com/global/en/job/R0321267/Monteur-cableur-F-H
0	Hardware	Toulouse	Haute-Garonne	Architecte hyperfréquences H/F	https://careers.thalesgroup.com/global/en/job/R0299049/Architecte-hyperfréquences-H-F
0	Hardware	Gennevilliers	Hauts-de-Seine	Team leader du laboratoire d'ingénierie mécanique F/H	https://careers.thalesgroup.com/global/en/job/R0289845/Team-leader-du-laboratoire-d-ingénierie-mécanique-F-H
0	Engineering and Technical specialities	Vélizy-Villacoublay	Yvelines	Architecte Cybersécurité (H/F)	https://careers.thalesgroup.com/global/en/job/R0291928/Architecte-Cybersécurité-H-F
0	Engineering and Technical Management	Limours	Essonne	Engineering Delivery Manager Radars F/H	https://careers.thalesgroup.com/global/en/job/R0325336/Engineering-Delivery-Manager-Radars-F-H
0	System	Moirans	Isere	Technicien Système de Test (F/H)	https://careers.thalesgroup.com/global/en/job/R0322652/Technicien-Système-de-Test-F-H
0	Finance	Vélizy-Villacoublay	Yvelines	Manager Gestionnaire Financier des Contrats H/F	https://careers.thalesgroup.com/global/en/job/R0303881/Manager-Gestionnaire-Financier-des-Contrats-H-F
0	System	Gennevilliers	Hauts-de-Seine	Product Design Authority (PDA) - Unité de communication Radio SDR Aéro - F/H	https://careers.thalesgroup.com/global/en/job/R0318268/Product-Design-Authority-PDA-Unité-de-communication-Radio-SDR-Aéro-F-H
0	Customer Service	Toulouse	Haute-Garonne	Ingénieur réseaux et sécurité (F/H)	https://careers.thalesgroup.com/global/en/job/R0313417/Ingénieur-réseaux-et-sécurité-F-H
0	Industry	Bordeaux	Gironde	Responsable appel d'offre industrie F/H	https://careers.thalesgroup.com/global/en/job/R0312556/Responsable-appel-d-offre-industrie-F-H
0	Information Systems - Information Technology	Cannes	Alpes-Maritimes	Responsable fonctionnel outils d'ingénierie H/F	https://careers.thalesgroup.com/global/en/job/R0294258/Responsable-fonctionnel-outils-d-ingénierie-H-F
0	Bid and Project Management	Vélizy-Villacoublay	Yvelines	Bid & Project Manager Pôle Space (H/F)	https://careers.thalesgroup.com/global/en/job/R0312928/Bid-Project-Manager-Pôle-Space-H-F
0	System	Toulouse	Haute-Garonne	Ingénieur Intégration Galileo (F/H)	https://careers.thalesgroup.com/global/en/job/R0313587/Ingénieur-Intégration-Galileo-F-H
